objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Cosmoctopus","362020","4.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","133919822","6.29426","7.19023","2.2407","1852","4748","thing","Cosmoctopus","1","4","90","90","60","2023","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Courtisans","402283","7.5","11","0","1","0","0","0","0","0","0","0","2","","","","","","123334418","6.56501","7.27134","1.3043","1158","7410","thing","Courtisans","2","5","30","30","20","2024","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","19.99","USD","","","2025-04-14","Cardhaus.com","1","","","","","","",""
"Creature Caravan","385331","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","133321759","6.60843","7.81494","2.4468","1066","4328","thing","Creature Caravan","1","4","90","90","60","2024","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004764","7.62295","7.76206","1.9628","89","91451","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Critter Kitchen","393429","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134039241","6.59076","7.84051","2.4667","1106","6489","thing","Critter Kitchen","1","5","60","60","60","2025","1,2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","28","USD","","","2025-07-03","Manyrealms.com","","","","","Cardboard Alchemy; Lucky Duck Games","English","2025","English retail edition"
"Crokinole Imperium","363358","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140479441","5.56452","8.14388","1","0","278","thing","Crokinole Imperium","2","4","30","30","30","2022","2","2","","","","","","","","expansion","","25","USD","","","2025-12-28","Browncastlegames.com","","","","","","","",""
"Crusaders: Thy Will Be Done","170624","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136139040","6.86225","7.47248","2.4733","659","7556","thing","Crusaders: Thy Will Be Done","2","4","60","60","40","2018","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","16.07","USD","","","2025-09-05","miniaturemarket.com","","","","","","","",""
"Cubitos","298069","9.5","8","0","1","0","0","0","0","0","0","0","3","","","","","","125959541","6.99897","7.36694","2.169","488","17400","thing","Cubitos","2","4","60","60","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cubitos: Fowl Play","388568","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","129386303","5.71418","8.00531","2.3333","0","1659","thing","Cubitos: Fowl Play","2","6","60","60","30","2024","2,3,4,5,6","4,5,6","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Cult Following","197321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004075","5.53024","6.46988","1","16299","328","thing","Cult Following","3","8","30","30","15","2016","4,5,6,7,8","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Curious Cargo","312251","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125959917","6.29316","6.99342","3.2182","1856","6110","thing","Curious Cargo","2","2","60","60","30","2020","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyberion","376893","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134992063","6.13487","7.90206","1.9333","2465","2813","thing","Cyberion","1","2","40","40","20","2023","1,2","1","10+","No necessary in-game text","","","","","","standalone","","16.97","USD","","","2025-08-04","gamenerdz.com","","","","","","","",""
"Daitoshi","402677","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157645","6.20404","7.47505","3.951","2185","3298","thing","Daitoshi","1","4","120","120","120","2024","2,3","3","10+","No necessary in-game text","","","","","","standalone","","39.97","USD","","","2025-08-11","gamenerdz.com","","","","","","","",""
"Daybreak","334986","8.5","1","0","1","0","0","0","0","0","0","0","2","","","","","","121963067","7.01589","7.68494","2.8519","473","10305","thing","Daybreak","1","4","120","120","60","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","53.99","USD","","","2025-01-22","Cardhaus.com","1","","","","","","",""
"DC Super-Skill Pinball: Harley Quinn Ball","422339","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157657","5.53319","7.4925","1.5","15663","275","thing","DC Super-Skill Pinball: Harley Quinn Ball","1","4","45","45","45","2024","","","","","","","","","","standalone","","13.97","USD","","","2025-08-10","gamenerdz.com","","","","","","","",""
"Dead Reckoning","276182","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131093214","7.11383","8.14433","3.4302","370","6952","thing","Dead Reckoning","1","4","150","150","90","2022","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Deadlies","292907","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","132525383","5.71059","6.77543","1.3636","5987","1274","thing","The Deadlies","3","6","30","30","30","2020","3,4,5","5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Regrets","397931","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","133652655","6.40992","7.3508","2.3478","1542","6700","thing","Deep Regrets","1","5","150","150","30","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Tettix Games","English","2025","English edition"
"Diatoms","370210","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573465","5.7325","7.60045","1.8462","5630","905","thing","Diatoms","1","4","45","45","30","2025","1,2,3,4","1,3","8+","","","","","","","standalone","","35.79","USD","","","2025-08-18","Cardhaus.com","1","","","","Ludoliminal; 25th Century Games","English","2025","English edition"
"Dice Forge","194594","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","110186237","7.00734","7.21251","1.974","482","38097","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge: Rebellion","258003","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006293","6.38348","7.57247","2.4643","0","9203","thing","Dice Forge: Rebellion","2","4","40","40","40","2019","2,3,4","3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Throne","268201","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124961437","6.6058","7.59371","2.1566","1070","4101","thing","Dice Throne","2","6","40","40","20","2018","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One Rerolled – Battle 1:  Barbarian v. Moon Elf","322561","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","133248366","6.24471","7.524","2","2031","4746","thing","Dice Throne: Season One Rerolled – Battle 1:  Barbarian v. Moon Elf","2","2","40","40","20","2021","2","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One Rerolled – Battle 1:  Barbarian v. Moon Elf","322561","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","133258730","6.24471","7.524","2","2031","4746","thing","Dice Throne: Season One Rerolled – Battle 1:  Barbarian v. Moon Elf","2","2","40","40","20","2021","2","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One ReRolled – Monk v. Paladin","322562","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248341","6.16747","7.71258","2","2320","3881","thing","Dice Throne: Season One ReRolled – Monk v. Paladin","2","2","40","40","20","2021","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief","322563","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248357","6.16433","7.70772","1.8235","2334","4043","thing","Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief","2","2","40","40","20","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One ReRolled – Treant v. Ninja","320527","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248347","6.16217","7.70938","2","2341","4102","thing","Dice Throne: Season One ReRolled – Treant v. Ninja","2","2","40","40","20","2020","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season Two – Cursed Pirate v. Artificer","266967","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363720","6.29214","7.79905","2.625","1861","4312","thing","Dice Throne: Season Two – Cursed Pirate v. Artificer","2","2","40","40","20","2018","2","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season Two – Gunslinger v. Samurai","266966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363714","6.34779","7.51749","2.1923","1694","5410","thing","Dice Throne: Season Two – Gunslinger v. Samurai","2","2","40","40","20","2018","2","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"District Noir","216497","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136424311","6.2539","6.96945","1.3067","1987","5020","thing","District Noir","2","2","20","20","10","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","7.5","USD","","","2025-09-14","miniaturemarket.com","","","","","","","",""
"Dogfight!: Rule The Skies in 20 Minutes!","369154","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133725735","5.67029","6.74111","2","6847","1008","thing","Dogfight!: Rule The Skies in 20 Minutes!","1","2","20","20","20","2023","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","20.99","USD","","","2025-06-28","Tabletopmerchant.com","","","","","PSC Games","English","2023","English edition"
"Dorfromantik: The Board Game","370591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006666","7.16123","7.60467","1.6364","337","22848","thing","Dorfromantik: The Board Game","1","6","60","60","30","2022","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Duel for Cardia","447243","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136268101","6.52889","7.53999","1.7903","1240","5904","thing","Duel for Cardia","2","2","15","15","15","2025","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","18.22","USD","","","2025-09-09","miniaturemarket.com","","","","","","","",""
"Dune: Imperium – Uprising","397598","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133564667","8.20337","8.69864","3.5205","7","25430","thing","Dune: Imperium – Uprising","1","6","120","120","60","2023","1,2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","43.99","USD","","","2025-06-23","Tabletopmerchant.com","","","","","Dire Wolf","English","2023","English edition"
"Earth","350184","8.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","122638940","7.35554","7.62571","2.9078","205","33261","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy","246900","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","109794580","7.96529","8.40005","3.6638","21","21465","thing","Eclipse: Second Dawn for the Galaxy","2","6","200","200","60","2020","2,3,4,5,6","4,6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","142.5","","","","2025-10-08","tabletopmerchant.com","1","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Outcasts","368378","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137208929","5.76367","8.60698","3.5","0","1682","thing","Eclipse: Second Dawn for the Galaxy – Outcasts","0","0","0","0","0","2024","","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","58.5","USD","","","2025-10-08","tabletopmerchant.com","1","","","","","","",""
"Emberleaf","426513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134992140","6.1979","7.89238","3.0635","2215","2451","thing","Emberleaf","1","5","120","120","90","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","44.97","USD","","","2025-08-04","gamenerdz.com","","","","","","","",""
"Emerald Skulls","421762","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002585","5.7036","6.98843","1.9167","6130","1128","thing","Emerald Skulls","1","6","45","45","30","2025","4,5,6","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Emerald Skulls: 7-8 Player Expansion","439930","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002587","0","8","0","0","273","thing","Emerald Skulls: 7-8 Player Expansion","7","8","0","0","0","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Enchanters","198138","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006427","6.05527","7.01053","1.9318","2846","2799","thing","Enchanters","2","4","60","60","30","2016","2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Enchanters: Deluxe Box","337796","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006434","5.64982","7.61648","2","0","691","thing","Enchanters: Deluxe Box","1","4","60","60","30","2020","2,3","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Enchanters: East Quest","299153","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006527","5.60235","7.51848","2","0","826","thing","Enchanters: East Quest","1","4","60","60","30","2021","1,2,3,4","2,3,4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Enchanters: Odyssey","283029","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006531","5.62478","7.47545","2","0","1039","thing","Enchanters: Odyssey","1","4","60","60","30","2019","2,3,4","2,3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Enchanters: Overlords","252688","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006535","5.85915","7.40192","2","4145","1689","thing","Enchanters: Overlords","2","4","60","60","30","2018","2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Equinox","329450","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004410","6.06036","6.68197","2.0377","2813","4834","thing","Equinox","2","5","60","60","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos: 2nd Edition","432527","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","129479073","6.07113","7.6735","2.4211","2766","1932","thing","Ethnos: 2nd Edition","1","6","60","60","60","2025","3,4,5,6","4,5","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Evacuation","382843","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","122140826","6.70112","7.5111","3.9791","900","7195","thing","Evacuation","1","4","150","150","60","2023","1,2,3,4","2,3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Evenfall","396989","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134077747","6.60689","7.62892","3.1071","1067","4919","thing","Evenfall","1","4","120","120","60","2023","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","34.99","USD","","","2025-07-10","Amazon.com","","","","","dlp games; Nanox Games","English","2023","English edition"
"Everbloom","369897","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134555266","5.55987","7.4025","2.8333","11990","409","thing","Everbloom","1","4","90","90","60","2025","2,3,4","3,4","12+","","","","","","","standalone","","54.99","USD","","","2025-07-22","Cardhaus.com","","","","","Nerdvana Games","English","2025","English edition"
"Everstone: Discovering Ignis","392403","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136578935","5.62167","7.37043","2.9333","8285","594","thing","Everstone: Discovering Ignis","1","4","120","120","40","2024","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","21.44","USD","","","2025-09-19","miniaturemarket.com","","","","","","","",""
"Evolution: Climate","182134","0","0","0","1","0","1","0","0","0","0","0","3","","","","","","133006301","6.97799","7.44987","2.7258","515","14082","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Expeditions","379078","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006940","7.09925","7.63394","3.054","389","15477","thing","Expeditions","1","5","90","90","60","2023","1,2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Expeditions: Gears of Corruption","421689","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006945","6.30454","8.34077","3.25","0","4701","thing","Expeditions: Gears of Corruption","1","6","90","90","60","2024","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Fantasy Realms","223040","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","124685861","7.24231","7.50516","1.8099","269","28381","thing","Fantasy Realms","2","6","20","20","20","2017","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantasy Realms: Deluxe Edition","363289","8.5","16","0","1","0","0","0","0","0","0","0","3","","","","","","131010931","6.26268","7.71335","2.0455","0","2662","thing","Fantasy Realms: Deluxe Edition","3","6","20","20","20","2022","2,3,4,5","2,3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Faraway","385761","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131001376","7.25645","7.55353","1.9201","259","28910","thing","Faraway","2","6","30","30","15","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","9","9","0","1","0","0","0","0","0","0","0","3","","","","","","133004987","7.94282","8.16384","3.8663","26","42630","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin: The Norwegians","216788","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004994","7.74287","8.92562","3.9911","0","15455","thing","A Feast for Odin: The Norwegians","1","4","120","120","30","2018","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Federation","345868","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133994733","6.81588","7.83089","3.75","724","4525","thing","Federation","2","4","120","120","60","2023","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","63.99","USD","","","2025-07-06","Tabletopmerchant.com","","","","","Eagle-Gryphon Games","English","2023","Eagle-Gryphon English deluxe edition"
"Fisheries of Gloucester","327839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202548","5.54196","6.61742","2","14129","448","thing","Fisheries of Gloucester","2","2","45","45","30","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","10","USD","","","2025-05-29","Dr. Finn's Games","","","","","Dr. Finn's Games","English","2023","English edition"
"Fisheries of Gloucester Express","342675","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202537","0","6.775","0","0","147","thing","Fisheries of Gloucester Express","2","2","15","15","10","2023","","","","","","","","","","standalone","","3.33","USD","","","2025-05-29","Dr. Finn's Games","","Purchased during going-out-of business sale, got for 1/3 of MRSP","","","Dr. Finn's Games","English","2023","English edition"
"Fishing","419195","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","124345008","6.50441","7.25194","1.8727","1295","6667","thing","Fishing","3","5","60","60","40","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fit to Print","352574","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121963996","6.60937","7.31972","2.1154","1063","9213","thing","Fit to Print","1","6","30","30","15","2023","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flamecraft","336986","7.8","3","0","1","0","0","0","0","0","0","0","3","","","","","","129880322","7.09393","7.38194","2.1874","395","42702","thing","Flamecraft","1","5","60","60","60","2022","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","25.55","USD","","","2025-01-22","Cardhaus.com","1","","","","","","",""
"Flatiron","409693","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131981956","6.29476","7.50832","2.6212","1846","3637","thing","Flatiron","1","2","45","45","45","2024","1,2","2","12+","No necessary in-game text","","","","","","standalone","","26.8","USD","","","2025-05-04","Amazon.com","","","","","Ludonova","English; Spanish","2024","English/Spanish edition"
"Fleet: The Dice Game – Dicey Waters Expansion","298686","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","132173880","5.72623","7.50737","3","0","2355","thing","Fleet: The Dice Game – Dicey Waters Expansion","1","4","60","60","30","2020","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Fleet: The Dice Game (Second Edition)","328326","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","132234221","6.38088","7.74818","2.2273","1615","3199","thing","Fleet: The Dice Game (Second Edition)","1","4","45","45","30","2020","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fliptown","352418","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133564350","6.6608","7.74723","2.4091","968","5972","thing","Fliptown","1","4","45","45","30","2023","1,2,3,4","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","20.99","USD","","","2025-06-23","Tabletopmerchant.com","","","","","Write Stuff Games","English","2023","English edition"
"Fliptown: The Lone Gun","425027","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133564397","5.62221","8.36117","2.6667","0","881","thing","Fliptown: The Lone Gun","1","1","45","45","30","2024","1","1","12","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","8.99","USD","","","","Tabletopmerchant.com","","","","","Write Stuff Games","English","2024","English edition"
"Fliptown: The Outskirts – Mini-Expansion","371806","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133564376","5.60289","7.44868","3","0","1567","thing","Fliptown: The Outskirts – Mini-Expansion","1","4","45","45","30","2023","1,2","1","12","","","","","","","expansion","","7.49","USD","","","","Tabletopmerchant.com","","","","","Write Stuff Games","English","2023","English Edition"
"Floristry","417518","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","132234207","5.6739","7.19859","1.25","6769","864","thing","Floristry","2","2","20","20","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale","172","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","122734475","7.13833","7.26371","1.251","353","43052","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale Autorama","318709","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","122734488","5.85062","7.22205","1.7692","4222","1276","thing","For Sale Autorama","3","6","45","45","30","2021","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Forest Shuffle","391163","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959698","7.43966","7.73493","2.2075","155","34891","thing","Forest Shuffle","2","5","60","60","40","2024","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","21","USD","","","2025-07-08","Manyrealms.com","","","","","Lookout Games","English","2024","English edition 2024 (US, CAN)"
"Forest Shuffle: Alpine","412576","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134038751","6.98258","8.20757","2.0682","0","13453","thing","Forest Shuffle: Alpine","2","5","60","60","60","2024","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","9.1","USD","","","2025-07-08","Manyrealms.com","","","","","Lookout Games","English","2024","English edition"
"Forest Shuffle: Woodland Edge","424129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134038780","6.71002","8.12208","2","0","11173","thing","Forest Shuffle: Woodland Edge","2","5","60","60","60","2024","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","9.1","USD","","","2025-07-08","Manyrealms.com","","","","","Lookout Games","English","2024","English edition"
"Formaggio","430533","0","1","0","1","0","0","0","0","0","1","0","3","","","","","","132039974","5.89572","8.19192","2.5263","3846","2255","thing","Formaggio","1","4","45","45","30","2025","1,2,3,4","3,4","12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Foundations of Metropolis","412865","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","127875579","6.44577","7.63965","1.9615","1440","3696","thing","Foundations of Metropolis","2","4","60","60","60","2024","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","39.99","USD","","","2025-04-29","Arcanewonders.com","","","","","Arcane Wonders","English","2024","English edition"
"Fountains","440509","8","6","0","1","0","0","0","0","0","0","0","2","","","","","","134300070","5.74784","7.42987","2.1818","5388","917","thing","Fountains","1","5","45","45","30","2025","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","40","","","","2025-08-17","Amazon.com","","","","","","","",""
"The Fox in the Forest","221965","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","125959519","6.85891","7.06057","1.6012","665","38065","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest Duet","288169","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133908479","6.43733","6.97434","1.7717","1464","10395","thing","The Fox in the Forest Duet","2","2","30","30","30","2020","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Furnace","318084","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","122696906","7.08173","7.39077","2.3221","405","19467","thing","Furnace","2","4","60","60","30","2021","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","32.79","USD","","","2025-01-22","Cardhaus.com","1","","","","Arcane Wonders; Hobby World","English","2021","English edition"
"Furnace: Interbellum","363077","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006335","5.95948","7.67489","2.8235","0","3924","thing","Furnace: Interbellum","1","5","60","60","30","2022","1,2,3,4,5","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Gaia Project","220308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114900002","8.09099","8.35462","4.4018","13","37868","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gaia Project: The Lost Fleet","396802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363059","6.4743","8.92885","4.4407","0","4697","thing","Gaia Project: The Lost Fleet","1","4","150","150","60","2024","1,2,3,4","3,4","16+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
